38	131	7	ehqcqidcibnanewxlbtegihjjjidctihyiwscrosjqke
69	179	45	muenqestfkspdrzlsxmsbacruypmphtbuyiuiiotvrna	
122	187	26	qkwzjtsbyrzqoccyulpeqrdchwumemufkrrhwbtspgxe	
34	32	16	sbjcqcnzqxlphjhawugktijfsfyezghqhumjusyfajsm	
50	62	36	ywxofivfkfzexjftjigviovftcazmrrtihljolpecvww	
136	89	5	yfqfwqycddynbzrepdaxrirsiqdfmleihwpmjtojajel	
61	25	29	qmweddzhauyqneepmohkbtiigfznemhlzckcsrukquth	
71	57	46	emqypwofpyupomdlucvkbmjjqbitwkevghmlqqrekccx	
15	48	32	kiunfuctlcgrfzqbzchnfjbdulgxkuxreuvytajcgtll	
96	198	41	bcxcumrtqqhzhskzenacinzujrdkxdqykichzppplemw	
133	49	31	xbrpbiizvlwtbxwwgymvohpcxemnixtlyznejuersdtu	
148	112	8	cuyadfnlfmsjcjdiqmfqzydzwuwvxihumkvwxgamgite	
173	26	5	oadwfutbypdxjlwflhcwqiechvjyuezlngyaotdegjdl	
55	117	11	vdchmvbejiardyycotnrurqhbhjjhtwcqwezwfcbumhu	
72	163	45	giqnaolegrngdwyvheiesycjjfdjxjefkghspjqihxsu	
63	7	25	gwjmljouzvjgjtorvmsdxhsdqmzeqfdgdrmmfiuzvktr	
142	65	17	pgvgowormzkrdolivhddnauzmfkkhjxwdbexphydehqy	
56	66	16	czhuafiddxtgozjyxnurzgxegujwsflelqcfucrhezkf	
139	115	20	vqjrzagfchygvxckayzaghdfsxxbbghhsuiqrdxjdgny	
168	108	33	mhntwiuiyacsnkqwrrihvruhheyylbmworcognghqojk	
12	81	27	wwmwmyggwxmsfpkixqjwkjxksbcqgrcxfgrsrmfbhhek	
159	185	11	dlxtpxajvpbcokbscldjjdobpfouzdahrmypiujmhfie	
130	177	38	xtmyniaytvruxqkcwzopkprdjleoxtrbkvpqvmhutqkt	
113	146	35	rhodsfclzghxlsajuzckpfjdhwqzpuhzsusqnfppkark	
1	91	14	oqlkpnpyuxfxdkafauwlmqqykfaxtqdlkdfnncbdbpjz	
57	92	23	xnsqnollbhttoihrlawnqocmcqvtgklgypvjbqivrqtx	
199	182	44	sdhldjclatmgviaytzkxoakhzbdyzorebpkjcalxysao	
196	157	7	ftgjmnckyawfnpfvjskkhwtvofdvagannxprjxgmleoj	
127	71	31	ztsnbylgtsszsnbrrmqhgrqeuugdmmxojlawjuxbmykh	
29	34	25	qwlfzctiqyrnirxlmdlnulxsjsmjkbioqrsotvdrfjvf	
108	198	36	lkeqgequydfeckgrecnktuwdfdeppggwtsdholajohni	
62	180	1	msextbnsfbvhbdgdepujreukdqczyracsqbdjflnjulm	
112	161	24	ubopwnvanflzkuqkccrcosxxaiiaigqzlukmudkaytdp	
188	193	21	ppilcrtkwfrranuhvgxfrwqwulvxhzorgfslerqvkflq	
104	65	19	monubdsnswlmyttriljppwcqigomvhuunkzjxyuseqea	
137	154	15	niabazejuglqmfjiqassjdmouhrtgvwqcpgthcblpxzq	
89	84	12	sidwilwbnpdpoeortzxmkkgcryrqcntbldaaarlzipky	
161	93	4	gmpwodkpfduomcbraklvgqxsgjjjdpxkesdmjzkxfxbw	
86	80	42	zobgbxisxhiwupxmitrmwsdxxmslpqzeryoxxoxpurgf	
58	99	40	sygtflbuhobbbuddwnjkqmkaluqozhpjkdajymozpypa	
152	106	25	pjwpsoofbrxhxvpxlsqodhhubqrrxrozoeorgxblkpef	
111	109	2	swcdeylfntoppoafrxprqpsoesqhdbjkrezgcuuhmklg	
36	131	0	gqcbzgjtobxdqhibqzdrazzmcraaldprienlegeddxwm	
85	78	3	wzehepinmisrlrlldaumtgowmxbvaqkshtfxxuatqdsc	
121	90	25	bjmpjptejwygrgqtzkzdkszbeclnwpkuddcutoghikgs	
116	75	48	zccfsrructwzlgceifydqtcrfurtvoyfcsuqqpafxtew	
160	80	47	snlubpicqlexhoilcmxhvunjquutgnikyifgzrizeqqq	
7	169	19	vbmhzjmwuxsvbqcaaobgaskqcpexqusvmaxykekqufly	
167	76	30	pndrgsvujowqlfgnulsvkybiwfmdjxnqupuqakxainle	
67	185	16	wymxxmfwmnakkivpruisqdtisbjnobdgsaiydrpcxpye	
170	199	40	abieitulhbaejhfxahukikotqljuysqhlwizdrvcpitz	
99	80	8	plkpxjiseftcfqojiulsphnuhgaynnbfmchjzautdmzt	
5	160	9	jdkyomxuidfxpuujkhyxqubhxaixuhowcgwweajgoial	
192	169	42	xsyfpqmszbabjohvawrscmswidkixgotvqijjcwajvbx	
14	188	4	xxapcdiitoddejeplxgixurbpaaobarfmbesedopuizy	
18	102	3	vzffsxiqrswlmeqzgjfbevjmqdescozrlxhplchawftc	
48	131	3	cchpxdaaucsbkamluwgcsugleyiaklzlllamsqvbnqpx	
143	128	49	cpmkvhrdqhhnvwfcyovhvawqmgqymlptcubzzepnoawy	
6	108	2	aevliafkjauswlnsohytzpvdftcppaobvidrzjopsumm	
197	100	29	cmwiphismqdrrurpelhogevyzcqjfpjcbgfxhpanzzgx	
126	59	23	zqcywazivduxjwrpkatwkajbnbuorerbtejiasfsnhto	
73	100	11	wkwgfqrihgkrzihxvpynthxvlwhtxtpycwcvokevmxto	
53	85	34	tyctihwomilxadgenybpkhlnermczefrlugywzrlfrad	
81	156	9	oakcfjnizminrctpeaylbjipsjbqcbqcxzdsghwpscaq	
100	158	6	hutlhcquhksgoxmpgnyqgyroaxrvxypwiqgdmqwhwqld	
46	49	29	blccdnlvatynbwskqtvgrvgtxpwhbprkhyviqbjrhqin	
52	158	2	fppsvldzjybnbgzrpapuihrqlddhddetctionqlbdxrc	
157	106	40	fwmqbbxvyvilosswtiwkwespipsxrtcsklnqjfawpfpz	
131	45	28	chxcdqkjhtozluoljtcrssbzjoavwcpxetbpccqnlmms	
181	62	5	hqrlnespkovsldammjmrtyfvfpdfabfhhphubfuhvxyi	
158	37	30	lrolxcooorjiurssvabwvgmkvnkenfpsnwuvzeqtofjr	
109	52	33	hfudrovugzrdredifkoajmktpqhqevqrjpkrssaqhglb	
107	69	38	vcprvryhvnzenpepztjqoxugrbejhctcdmwqsdulwumt	
115	131	41	yfcjdpdougtryohqsrvukqiuakfmuudpswasxxsnxopi	
77	167	37	lhqiyxqdgiyepgrrpyphyihkjyloroweecronychaaor	
120	137	35	thcyfopojnxmubhkhityovsgmwyumtoayixbdrfcfxhe	
191	105	24	ybvayvqzkilvukrhefpwwytfzrommbdbfcwsonqtosgt	
45	68	17	gtvdycgmqcceerlpxbwgbywzdjmldgvsrpzqwervkifo
128	127	7	yevsohxtbjrmiskaluvvbtkziegremmuqhijoroncvkb	
21	47	46	slieomxxmcevwpyellscmhzulcplzsctepvzaulclbom	
109	67	18	ndllfhttodfkgbzqzcsktunwoxtvwqyerwmbtczlvbch	
122	177	34	xthgmvlndjrjhrtsabmoogckfaesfddpzzuvmuqmqref	
75	41	5	nofpxzudmbljqxlnikdtjbpegqjypmmxaqsibycroghs	
47	112	12	tjkfdaegppoctdgfhocqeonefxqvylkjpignwgkkjhke	
158	179	16	alvacyuheeweaqulazuzcstvxedbgwfwyubhbmnourpo	
23	114	7	yjlpvwidcjwspjkhtyyorjstgojgbrwfhelclknmpfxh	
165	170	48	bwzrtbhikqugpvapnzfztghmjrbpptecfcmmafwqyppy	
157	168	7	csixtqwnbaqdncwkvnenwrezcexxxlqjfyxfkkmrozxr	
106	150	42	qdwbzzcfdgwipwhslbgxcnigafmjrbrlhjgklsklzmdg	
71	144	41	kuoebfdkzynmdybjiwtzqryrijzelhgsscogrwmcdxrp	
173	150	36	cqsvtrtnxeaynkjfikxkzcscpvrmmyxcgsqqoybivagb	
175	1	20	jxrjvicfsfewtqkrgdssorbylsfmnemnyliipeajtnsf	
133	48	35	mszrvjoqncotixbzwgqvkxawtgxynzbzigzaqmqhqajh	
190	88	4	snxkzfoncnlwhshlaehrezitahdsjofguvgruheoptsm	
93	110	49	ehmgqeyjpupnepagfbgteuryuasxkjssjoeiemsmtucf	
32	84	25	mlwdryzhspjqshhrirpvcjiefqzbdhhrcioctpwzuxyr	
174	157	11	jdojuakwctfnfucctuwraevzrhwlcwcldblucrejfsyz	
102	9	5	ssjcdwhtosttpkangfuhrheitnxfcqyyhlyismaexudm	
188	183	1	uwpfmnqvjhcoxvrkkdqcynarrnqdohjdzieoyfwftkvr	
63	123	12	psywsiiqqjfhoumphwuokbacvlewdzrfqixapcmgthuz	
132	40	25	zckibdvyijwilozigvclgbguvidqltglvmqkfklpqtuy	
138	168	29	ouemvszklmbuheknbydkglcbtrppmcwhavhlwftnahux	
18	80	30	qnsrwaswlinjklyymydukavmtisbbsaudxbedjxxfzga	
199	134	19	nossvhregscdwrtxrnoyepngcloqdjtfvjphwehesfri	
83	121	29	qncozjobimjrbwbhhlliovohtwusqxkuzgtuybekudjz	
59	36	46	rcxkpnwzixzivgaigbreguoeowjkhchrbukpczrjtqdf	
91	101	9	hzxlocxyiwvvkbjccosdewcgqykphstmdctridxrjzmx	
103	127	21	oexhvbwtzjlckcsoihmhfloiavnhcfwnklhfqfijgiir	
39	120	4	vpvnkophfumpcbscukrnkbfaqczatgfsxqdsaduprvrt	
126	54	3	kolmaxrwercyfbgvhmlhwwvmpkixaqvwpvxayxioljzg	
120	118	45	qyoymcswjdznmahyotvuaolyzpkintqvhrckdclmjmmo	
80	164	19	xwcntvynyglxingdkipnqxajvrrrmblwdywbehtfzmlx	
60	19	14	jtrsghaktxwksrpgcnptchnuhogedjedvfccwvmovszp	
64	188	29	ghzwngeyelnzyoeyqhbonilhtdfgkrljazgbwnhmtkey	
163	35	47	lbxtmtfhsslpldeaqxsgmumdoujcjdcyznbfaqvdywbv	
28	198	20	jyytcvudtjleziuhrqnowevmvyrwqbomtvecdjfkwhzl	
185	18	6	wjmimmrllgdmmnalpfeehvtxhmbnkzzxfpkotqybrkag	
108	7	29	jnmoldxrofkqlxnmdqjhuxrzgbfvwdyveziozdejppbi	
196	15	41	gbwmsgvduosllkpvwfcvgznjagzldwvblcreszqjceak	
164	117	0	bbmmjjlqehkqvojgygufqrfzjfjjrkpwyfgvjjjiqkwv	
134	91	49	rcafhbqjihxdokukxrcgtkmozooxddrfowkfiyxxsvea	
50	176	4	vsbbojlixooalcprfhaxbhisiradefcydbulrqmrujiv	
186	186	27	xzekrmisiethovulsioxzvvbyxewmmoxhofmvfylrvsr	
129	48	9	euovqdsfvdvmihkmkfhgglspsgifaztkhapsmpotoynr	
195	159	8	ewvadnewdaccdbomtvjzgysschkbywpkkthibpixrqlq	
159	116	27	cvmfzlrnupcearsdfgremsarivdvxtlukweqfbignhjj	
94	152	38	sorgjlabwnqlpnuttwuxylmeaqxnpoxjrspspmmiyxsj	
117	198	1	meyifsoujdjxakpljqdkuzzatwdxxiricgwftfceqhnt	
182	157	23	yvhuzwcnwiwngnkiczihyjbdfuzlwzqguwfyzwcnkzak	
166	7	1	nvzdphhojbguxwzmuwjtptcudapkhuomsjhdcnkppdjf	
136	21	4	xszicsiojbgcgnwdkgdwnqhqllgurwrrepbwwrzyzlbg	
104	36	28	nxzjaovylbsgnojxomvnzvvdbrxvlgwlvlyvnromzycf	
61	120	29	pavywwigglqagxquaprgsjsilbikopepdgwyvqasczos	
171	93	15	cznfqtwslldagqjaxlqnbrcqzikmqayfpxkzaxqrvzca	
189	60	7	xcacpzpufjvqltewpqiullcfoxotemhntsxogtkuwddk	
99	148	36	bnrhvxgdhkgkuweokzrhomiqajtntcvsocikriocxmxw	
0	54	18	wkdrgenjbvdbzipuocgpocfswnbttwvpknggvotcrlpl	
73	174	38	jufmdpgrcitkdyapqhhcptzwyejriqxiknumkfdhlibs	
34	16	40	fpjatsdppfcmfbenwwakamxusuoiojqbozuztbqgthxa	
26	199	27	vusfmnlfgvueuzuowgumaijjglsbfgwysygplrixncdb	
27	175	26	ckchbtulyoorwfuiekfprbjgejjrwlnizkyfuroxrgky	
44	191	15	obngzepmqywnmqxxfdnvcggwochrhjaqtniqtjpmqirj	
181	100	31	rlpizczawwliqkgirauiwlelkdsleicuipdfhzvkkmtu	
57	151	8	pobgndwzkbwzjtvbeizfonnmmrrupcawwxtowrlwwdbv	
7	125	21	lbvjavxjgyktnpflsbgjbambxwmlyjjqmxtbxrpikswi	
141	37	43	ihwiicfapewjbomhualgtnfjllazvhdeznxombmfmrtf	
84	182	23	wmrylcmylisrwyaqwnzcbljpdsyobatpoljwfscpbzwk	
16	162	43	ijdfjfngljxaebhzxhvlqbfbsnncjxutebwbljofqtno	
140	83	12	ttqeenlvcqmlvlmagnwdccufyjjlerwrffvothkakxqh	
62	175	35	zzohdrfvpjiajrdxvddelsjiipodhdtscuwbwhwmrwas	
119	27	11	jxorguqvrfsxmhsrmclfztxosfqpgcawlnrmwqchwemi	
72	173	23	cgoeucbogpqyjpnaqynqgjklitplgtryftvjtdmvwxoc	
170	12	46	ewlmkwmxtqsonisekfuwzlirlhpgjqynkyvnzlofzfhn	
82	114	48	vkkinqnumgpelloeucuaffjxghuyzkcivmuxtxnxvpkt	
74	114	10	dynniiexdlcnuppuiegzaxrbmzjmunmrchsiekfubmme	
88	0	33	crekrefcmmdwsvizskkqsfxsrgeoeyridmkxabmgjtgx	
3	95	46	gruqjjujgrmxbwkifxxxndxzlifumzjfkdrxacomqudq	
183	96	7	fxtxlgexvlfakkvxtvffutsfbfxlulvernrxaflgogol	
13	158	3	beugnkoydcbfvikwsulrwcmswewjjucfxefhpkapafch	
193	2	47	zgurfkfcjnoatpfklbvwlpofawlesvkgziikgajocphv	
12	188	21	fzsrntumrkrgkktmajwufuvorpdynzuwmodjjztbrqpd	
105	133	29	qxbjgoacosciszwgtrktcdxxxbwapgwythdilokkzeea	
19	164	41	tnrhfszlyjqdhtzlofuszigxgvrzycknmsjwdjvnlhyx	
146	29	23	ykhcopbcojphtzgdcujtpcqipicgfkiduugbbtdqpurv	
70	41	21	hiukxabsphchijpppxdknodhbzqjcbvsjrughukdevis	
118	16	22	dlvtjlyuxclglhpoymryahjmqblvfkziupwoinhbdsfb	
79	165	2	xutfakycipkvbowrctllrfdkxcjhjedqxsghbvylutfu	
145	183	46	vxkzhflmdhynfbrgyfhzhxtkkqhanogtfnftxbxedvmo	
161	107	28	jbnldnunqbkuywuszhuvauyluhfiklqfsymngxcarmxh	
176	143	9	yfbvbocdzntqlcmdyabdieizmrivlppoomgyzvquhnre	
81	135	11	ipaqgbhskeufgxjmetobbfsdfsdhgpoiutsllqjurcow	
77	67	0	awkbqsbiocpuvdtskciabkahbnsinxvutatcwquruvyh	
17	137	9	dydfxxjsyhvejgrmqoghyqafefuxdtoenamgfmetwbip	
169	92	28	dyeachxlpjtdtesnzhgtwjxkqyqqhclmascawuqzcxaa	
135	5	26	wxikamhkuamlmskpexgtmumyignknuxfnndxvadpztze	
15	187	10	fdqthgbiusqhkewguuuipmfvqbedrrujpbhdxbupkhio	
192	48	45	fmebmieeymevqfjwmqtkvgyvxnskwlzcpyghzmcbuuqb	
89	164	27	iwyfcnedpgokjxstaixaoovuhnochcryqevqcfdkbbor	
143	52	1	hvsboirrobepzzrhssuuniskniiudnovzhwmdaostxow	
45	152	44	qwgldzqkozxzggosgfwcrnhiwasnycgsybswyyjgaayw	
56	65	8	dswczxnymjnpfyclvauirsvpnqnhezcqmahkeqwqutgi	
110	183	34	ebumztyrtmsasnhkhexkdvcdddjmymtcgsryxhwuxtdv	
100	101	13	gfrjpiufekfndtfnepdcsrwekqhyuxeahtxxrwqejngq	
149	190	13	ocydssxyzazfryexneenddvfhwacvcodujlrhkcokusw	
11	169	27	okpmmuoeofhkgcmzcjnllxgdqysqhvebaceajqocevyn	
154	172	42	zulwgeiucqhcewztekoeeqiwwbhvfpkagfhvuwgnwunp	
1	49	20	oojfwuoleunrtvquvjutlumafjkcridjyszrqimnyath	
131	51	17	evxkrxeuwaqbodzpfmyjdxmrljgiioykuwcknhlimfms	
198	197	24	xedilvhzsahuvtqvxijjkbydpzuzbjwmcdiohswnhbyx	
123	113	9	gyvvhqspuzsppvgxxyzhybpilrohtqqqfbldvxlexqur	
191	18	19	njrbjgbscaxwzalfdgwwilazjqgqlyhyxcwemmkijfke	
116	84	42	hrbojgjsbnvtlranbiceubkguwyeqjtxkcmtbhgxtqec	
125	108	42	stgvcynbxsyptzigxrizgpzybnqayudhyhirhwjcdgsj	
160	96	31	ghqiwwceozggbxxpehcxcpmdkdycvxrgqvtkwnvuuoad	
85	1	10	iejcmgawaqraxnbxpcpesekucisotydhalgpyvnrzbwm	
48	57	5	ctvdqmjroqkrlvkhdopoztefriafoagmsnstmdminjuc	
55	34	36	pdunhlhrymrnvidhelosawntkbvnfcrfrxnxownsqdqd	
194	197	43	vgcldzycpjmtwsjzwwrjbxqletmaoqlllpxoaxkjarot	
178	128	49	asuhiyfvrvpqejiariotcqodfxivalvijyluiqlroxsz	
130	31	40	ovayxvmdjkituhjftuerwiawvgezwyhusfpwncascvnm	
148	46	18	gfivufzwcuvzgecqxkfrcslaitghangdnzgnstkbxbgx	
46	52	41	toauuxinwdcgcztyvzhdisxrkghmyentmdwdkyzmtvlc	
5	183	19	byltnsmyfridrfgofglmlczgghbbwatlpzkuafywhzxg	
29	129	9	lqtoiqnesswxwvsjiplmgsenhshstxluxlfogwcrvblt	
53	168	2	ttbpwenoqatjhqacdzgtlznoikixmyuhhqdzhpnhasxw	
78	129	43	nikydprrosymztygcpesidqhpvggcfyeeavsjnyqrkil	
31	42	24	cmvxvrfdtirezfdwztyztdpakaktyomiqbqmqhpaltzl	
22	107	3	bkdpwxurcihxtuvrcbhujyqcnkoceblejfywzyibfuyl	
2	196	7	kjxfgewxwfppiwqojsddrsxbxrtmfkaebazfwoctiqhk	
98	175	19	ibsywqlxfiookziiceopfpoyokcypayptkmsxulzyiqv	
69	46	6	muccyviyeftgtybeicxfrnwqpjyaqyjvyramctcwjyuc	
127	1	38	zvynwympkzdmysyezijtdhwsidzlqbddmsccbudlioiz	
87	176	23	hcumsofktklinbmzmnkgjqhvelcmsgtphhlmrqwnoyfo	
96	107	32	iadxsthbowjdmwimejkajbeijrsesfbmshfaogtrbcqc	
177	159	4	smvslvxleprauymzcgztzgmjgvimaszsadbmmcuviufb	
41	190	24	mberrbxcvnkgjtnjbyhiqdwxhhvnflqnlogutjgpbfcy	
139	72	2	kcmrdkxvuppyassnvrrdtvmzlevjaasgclxrjsjujyfs	
38	119	25	rouzuuvwhcdvdakidgsqocrltttdxunaqojhogxtlpal	
172	59	37	srjgegefsivbcvlofoxdqtgiexlfalusjdneqndyczjk	
35	59	26	qinazwsgkabnkglduoyrwxbnzwlzkmdnkbgxtsycwtou	
92	48	15	gajbfqstwfuumenrrtfnhamuexrnkencgwelnhwkpkow	
153	67	18	otcjbfoevvsuuygrftklobhjhybkjljzqxlwzwpmupho	
187	76	22	fwpjylfnrkzsjdfbymdahqguhqfaytbuzfcurtzpqpmo	
147	3	25	pkjeoerckwacdeltkwtculwtbtaqcrrxqjeqfgjektjh	
162	3	6	izfglnfcmbmnqjktfwbimxjipsfacjavsnfunlgdtalb	
9	31	37	wfefhnyemdslbsabrlstobwfkrhuccgxhsrfzvwerfks	
167	62	46	jftrvksmpflqevlcfprhahiippdssswwzkkezqixsubk	
43	183	29	pxulyhjwuceljwdbqyfgcwkkcomdydndinzhybrtnqbs	
179	199	23	brrzqcycnzivhnymzqirckqcmbulktkbzghfaequmlut	
52	57	5	xdejpkqlnjnwvccdbixdoumxjfafgdngkwghcgakuqib	
65	170	11	szimfrrkgjcixltdkbpjpbledgwbvblqqitjwvvchazv	
152	175	49	lrzomvdmuexoimkeprqqgiorvxqklhslzvdsewuegoom	
121	156	2	hhqeetojkthtrutnvmxvkqxjgqefgqlwseteikmmyced	
40	160	32	rsfcpslwbomotwtktmbjutgolfmyiyivqcprjfnzbduw	
197	20	42	qtyemoktceeafrybqwluhpibfnyaaosyjcvhvuwopxlj	
113	51	40	krroqwursfursvbngushyvixvugyfdawnpqhoysgzphs	
4	86	5	schexrlvnjspkwdmkdtukopljbacunkezydpfxxkzmes	
156	155	28	gzanqfjtgdugbfpllhijsgikokwvufswfhevowtkoawn	
30	81	25	emqqsxrmftlkwhknrjqadvcaundsyyggzjyhftkxqjut	
24	70	32	nfeerotsdovvqzlmrcwpgwdzdzpjzmrxucjmioabrasd	
68	3	23	reuzzeonqfnyerizkosqdlqormayizbgdvzoryzodjtc	
150	148	17	tfcrkvlgeoxqvzyszfwjkcfdnhwwcvwciobvathapihj	
144	86	26	cmgrjujfudhxpehkqclsjohbpxnktszialmsoszsaltf	
33	86	0	axdaylkucjtqdoisigesbidgytjrwpfyldangxabvziy	
101	175	16	gjvpngcaktlmmnhktzmvzuffrbitsqbejnfzypddoles	
137	113	37	xtcaydtnlrnrziaartwkshyitosinhykaselffffsdwb	
112	74	39	voilyckoankhkznjgdenppvtmmuunrycuslyynfgqcec	
49	183	41	dpeortmnahzbawrcipiovoyehnpjjqxfeopeausclwli	
184	3	10	djcyqaebbmlhrsoiimxddvezxjpppmymdaytrgnwrjmv	
114	34	4	ljigufuavnoccmkpkwdbbtbxaktnmiirzwiswhbhllmj	
76	76	40	euvrvtdihhkqekxmzxxslrvwvygzmjognsubzjlyisyq	
42	9	12	gpgxclskqjaopctdulleklihjmibtglvppohsrnsuktg	
168	70	45	xmyjcegaxqhgydgrzmmaenwdvoscmgppladjuguwfocr	
97	176	3	xxcraijgphunoyazgfzseqypwdsyzoklhevhcrystpzb	
95	194	2	nysapvoeeibxtgshfkwnlaxkkbdadwqjpiurvcalbgmt	
111	37	2	rdsnoctsduistmblmoetnjszfsnetjtxbuhvzuuonvjs	
25	166	27	qtlhnujjesobyxbmqdpytsojdgzuiguqcsqbuvjvzycm	
10	42	24	dwtxvcrrmrpfjyrzurmhdplziaymalhdegfneodytqzo	
51	74	2	acviskqgtefoixhenxndgcpqyaualeapzoqfwxymrchp	
90	167	13	vlxksgiaslveubnmkjekpnqbcssxqotwembjyitcibsg	
180	72	28	kaseyzefujhdsxdnaoukayyivdsvezweeevqmtsreuij	
66	190	1	ljapywpdkxybhzcghljhuezvgcaphxmcbwuujmlnorim	
8	66	24	zojpgsgbluqhgkgziyvhdthlbndfnumfxnxeijyxevxv	
58	56	23	itywxvnleikalxjcugdmldfnqsnzgxzeqsqfxmaqqely	
36	109	15	oukbvrquwvpkfnaysctkyyblnubsdmimmvaxtugvcggz	
142	112	20	xwnpqfqyziszldmxgvbabejmefzwhkfhhyqbzzmgwsts	
6	36	28	wjnvvelppaoluhahsgiatsmzmdtjehacrlguuddzngnt	
67	42	12	bveyxiwhyubtanfmkiqedsbnoucdzyriwhzpizekaabz	
115	127	18	hbsqoidzdpyeynujxzsgnhihlydtqjwhwiobmsygmney	
20	75	43	bxhzatluhjdxpcwvqroclknbiqthjpemxupzgeihnvgg	
124	41	44	ributsjzgeubjvuzioswbqqerrlzwnbpehueykrfpxgo	
86	42	6	tpshumuxdlvmcgydiddhqueeydcnnjjjxiyrhmzsjmmq	
37	74	35	xvqxdptmypkhbchqikicqbteoqsmxmcdmwxpqcfktigc	
14	161	37	rytdvqxwoownndszyggqvubwdelqjgigwazuctxmvuha	
54	185	46	bnebgqqotmoxdgzmqhphlyoslrbxylenkbkgoouvqgxc	
155	68	37	ivbwcuavfglbndnjyucrtpqvknqqidilpeyobbpivpqw	
151	167	3	arrirsqnsxsygutogymyxdxrzmodkyclvjoyyilqnrbr	
107	39	4	fhqruhwnljqimpbxtgzabnzapextcfbrbgwbfaunvlkk
